Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/chats/cae2dc30685d11f196bfc3335f372939/completions,1535,0,1100,1387.561679315989,125.60556000062206,9513.688000999537,1225.3374592833877,2.5635522471743943,0.0,1100,1500,1800,2000,2800,3500,4500,5600,9300,9500,9500
,Aggregated,1535,0,1100,1387.561679315989,125.60556000062206,9513.688000999537,1225.3374592833877,2.5635522471743943,0.0,1100,1500,1800,2000,2800,3500,4500,5600,9300,9500,9500
