Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781579051,10,,Aggregated,2.100000,0.000000,2500,3000,3400,4700,9100,9200,9300,9500,9500,9500,9500,54,0,2500,3327.351340333433,143.2816329997877,9513.688000999537,1251.9444444444443
1781579052,10,,Aggregated,2.200000,0.000000,2500,2800,3400,4000,9100,9200,9300,9500,9500,9500,9500,59,0,2500,3088.526352559404,143.2816329997877,9513.688000999537,1232.7627118644068
1781579053,10,,Aggregated,2.300000,0.000000,2400,2700,3400,3500,8800,9100,9300,9500,9500,9500,9500,62,0,2400,2956.6510090806987,143.2816329997877,9513.688000999537,1222.758064516129
1781579054,10,,Aggregated,2.500000,0.000000,2100,2600,3400,3400,8800,9100,9300,9500,9500,9500,9500,68,0,2000,2722.9085789412093,142.24295599888137,9513.688000999537,1202.4558823529412
1781579055,10,,Aggregated,2.500000,0.000000,2100,2600,3400,3400,8800,9100,9300,9500,9500,9500,9500,68,0,2000,2722.9085789412093,142.24295599888137,9513.688000999537,1202.4558823529412
1781579056,10,,Aggregated,2.900000,0.000000,2000,2600,3200,3400,8800,9100,9300,9500,9500,9500,9500,70,0,2000,2674.5981166857496,142.24295599888137,9513.688000999537,1208.057142857143
1781579057,10,,Aggregated,3.100000,0.000000,2000,2600,3000,3400,8700,9100,9300,9500,9500,9500,9500,74,0,2000,2629.9132757297207,142.24295599888137,9513.688000999537,1210.081081081081
1781579058,10,,Aggregated,3.000000,0.000000,2000,2500,2900,3400,8700,9100,9300,9500,9500,9500,9500,80,0,2000,2540.1514292124607,142.24295599888137,9513.688000999537,1194.9375
1781579059,10,,Aggregated,3.000000,0.000000,1900,2500,2800,3400,8600,9100,9300,9500,9500,9500,9500,83,0,1900,2462.1701680963133,142.24295599888137,9513.688000999537,1191.55421686747
1781579060,10,,Aggregated,3.200000,0.000000,1700,2500,2700,3200,8600,9100,9300,9500,9500,9500,9500,87,0,1700,2357.7832974597295,128.58166200021515,9513.688000999537,1181.7241379310344
1781579061,10,,Aggregated,3.500000,0.000000,1700,2500,2700,3200,8600,9100,9300,9500,9500,9500,9500,88,0,1700,2332.455432159061,128.58166200021515,9513.688000999537,1178.9772727272727
1781579062,10,,Aggregated,3.600000,0.000000,1500,2200,2600,3000,8400,9100,9300,9500,9500,9500,9500,95,0,1500,2204.7658492105074,128.58166200021515,9513.688000999537,1172.4
1781579063,10,,Aggregated,3.500000,0.000000,1500,2200,2600,2900,8400,9100,9300,9500,9500,9500,9500,97,0,1500,2165.1919323195625,128.58166200021515,9513.688000999537,1169.9381443298969
1781579064,10,,Aggregated,3.500000,0.000000,1400,2100,2600,2900,8400,9100,9300,9500,9500,9500,9500,100,0,1400,2125.432647789986,128.58166200021515,9513.688000999537,1170.14
1781579065,10,,Aggregated,3.500000,0.000000,1400,2100,2600,2800,4700,9100,9200,9300,9500,9500,9500,103,0,1400,2093.012793097074,128.58166200021515,9513.688000999537,1169.9708737864078
1781579066,10,,Aggregated,3.500000,0.000000,1400,2100,2600,2800,4700,9100,9200,9300,9500,9500,9500,104,0,1300,2084.5931466826823,128.58166200021515,9513.688000999537,1170.7403846153845
1781579067,10,,Aggregated,3.500000,0.000000,1400,2100,2600,2800,4700,9100,9200,9300,9500,9500,9500,104,0,1300,2084.5931466826823,128.58166200021515,9513.688000999537,1170.7403846153845
1781579068,10,,Aggregated,3.300000,0.000000,1400,2100,2600,2800,4700,9100,9200,9300,9500,9500,9500,105,0,1400,2091.5357839142725,128.58166200021515,9513.688000999537,1176.4285714285713
1781579069,10,,Aggregated,3.400000,0.000000,1400,2100,2600,2800,4700,9100,9200,9300,9500,9500,9500,106,0,1400,2102.563020792435,128.58166200021515,9513.688000999537,1180.254716981132
1781579070,10,,Aggregated,3.100000,0.000000,1400,2200,2700,3000,5800,9100,9200,9300,9500,9500,9500,108,0,1400,2154.8173598425824,128.58166200021515,9513.688000999537,1203.1666666666667
1781579071,10,,Aggregated,2.500000,0.000000,1500,2400,2700,3300,5800,9100,9200,9300,9500,9500,9500,110,0,1400,2202.4904386999965,128.58166200021515,9513.688000999537,1205.4363636363637
1781579072,10,,Aggregated,2.300000,0.000000,1500,2500,2800,3400,5600,9100,9200,9300,9500,9500,9500,113,0,1500,2290.0739954778883,128.58166200021515,9513.688000999537,1211.6725663716813
1781579073,10,,Aggregated,2.200000,0.000000,1500,2500,3000,3400,5800,9100,9200,9300,9500,9500,9500,115,0,1500,2343.9975033043643,128.58166200021515,9513.688000999537,1214.2260869565218
1781579074,10,,Aggregated,2.200000,0.000000,1500,2500,3000,3400,5800,9100,9200,9300,9500,9500,9500,115,0,1500,2343.9975033043643,128.58166200021515,9513.688000999537,1214.2260869565218
1781579075,10,,Aggregated,1.700000,0.000000,1700,2500,3200,3400,5800,9100,9200,9300,9500,9500,9500,119,0,1700,2376.348143260512,128.58166200021515,9513.688000999537,1222.3781512605042
1781579076,10,,Aggregated,1.800000,0.000000,1700,2500,3000,3400,5600,8800,9200,9300,9500,9500,9500,123,0,1700,2368.4658395365955,128.58166200021515,9513.688000999537,1220.3739837398373
1781579077,10,,Aggregated,1.400000,0.000000,1700,2500,3000,3400,5600,8800,9200,9300,9500,9500,9500,124,0,1700,2369.3899936854973,128.58166200021515,9513.688000999537,1221.766129032258
